ステージ管理人,Stage Manager
コポのポーチの箱,Kopo Pouch Box
しぐさ書・まえならえ前,Emote "Hands on Hips"
しぐさ書・カニ,Emote "Crab"
バトルロードチケット,Battle Road Ticket
しあわせの玉手箱,Happiness Jewelry Box
黄金の花びら,Golden Petal
しぐさ書・チアダンス,Emote "Cheerleader"
しぐさ書・タクトをふる,Emote "Conductor"
しぐさ書・宝箱,Emote "Chest"
プチヒドラカード,Frail Hydra Card
プチバラモスカード,Frail Baramos Card
ブレイブマシュマロ,Brave Marshmallows
ワイルドマシュマロ,Wild Marshmallows
ミステリーマシュマロ,Mystery Marshmallows
ロイヤルマシュマロ,Royal Marshmallows
ラブリーマシュマロ,Lovely Marshmallows
ワンダーマシュマロ,Wonder Marshmallows
マスターマシュマロ,Master Marshmallows
ラッキーマシュマロ,Lucky Marshmallows
ミラクルマシュマロ,Miracle Marshmallows
クレイジーマシュマロ,Crazy Marshmallows
しぐさ書・グー,Emote "Rock"
しぐさ書・チョキ,Emote "Scissors"
しぐさ書・パー,Emote "Paper"
しぐさ書・おそうじ,Emote "Cleaning"
プラコンスイート服桃,Pink Sweet Clothes
プラコンスイート服赤,Red Sweet Clothes
プラコンスイート服黒,Black Sweet Clothes
プラコンスイート服青,Blue Sweet Clothes
プラコンスイート服橙,Orange Sweet Clothes
プラコンパティシエ服白,White Pastry Chef Suit
プラコンパティシエ服赤,Red Pastry Chef Suit
プラコンパティシエ服桃,Pink Pastry Chef Suit
プラコンパティシエ服青,Blue Pastry Chef Suit
プラコンパティシエ服黄,Yellow Pastry Chef Suit
プラコンキューピッド白,White Cupid
プラコンキューピッド桃,Pink Cupid
プラコンキューピッド黒,Black Cupid
プラコンキューピッド青,Blue Cupid
プラコンキューピッド紫,Purple Cupid
プラコンエンジェル服白,White Angel Clothes
プラコンエンジェル服赤,Red Angel Clothes
プラコンエンジェル服桃,Pink Angel Clothes
プラコンエンジェル服青,Blue Angel Clothes
プラコンエンジェル服黒,Black Angel Clothes
プラコンスクール服・赤,Red School Uniform
プラコンスクール服・白,White School Uniform
プラコンスクール服・紺,Blue School Uniform
プラコンスクール服・黒,Black School Uniform
プラコンスクール服・茶,Tea School Uniform
プラコンブレザー服・赤,Red Blazer
プラコンブレザー服・白,White Blazer
プラコンブレザー服・紺,Navy Blue Blazer
プラコンブレザー服・黒,Black Blazer
プラコンブレザー服・茶,Tea Blazer
しぐさ書・ペンペン,Emote "Spank"
カジノプレイチケット,Casino Play Ticket
プレゼントチケット,Present Ticket
銀河の金平糖,Galaxy Sugar Candy
福の花びら,Luck Petal
しぐさ書・リュート,Emote "Play Lute"
しぐさ書・花束,Emote "Bouquet"
白紙のカード,Blank Card
幻界の四諸侯コイン,4 Dread Fiends Coin
幻界の四諸侯カード,4 Dread Fiends Card
プチ幻界の四諸侯カード,Frail 4 Dread Fiends Card
幻界の四諸侯強カード,Apex 4 Dread Fiends Card
キングヒドラ強カード,Apex King Hydra Card
グラコス強カード,Apex Gracos Card
バラモス強カード,Apex Baramos Card
伝説の三悪魔闘カード,Apex 3 Legends Demons Card
キラーマジンガ強カード,Apex Uberkilling M. Card
しぐさ書・カンパイ！,Emote "Cheers!"
プチグラコスカード,Frail Gracos Card
輝石の天箱,Augite Hvn Box
プチ伝説の三悪魔カード,Frail 3 Legends Demons Card
プチマジンガカード,Frail Uber Machine Card
メダル３０枚チケット,30 Medals Ticket
封印の箱のカギ,Sealed Chest Key
めざめの鬼石,Demon Stone
タロットパック・金,Gold Tarot Pack
特別タロットパック,Special Tarot Pack
炎の宝珠？,Fire Jewel ?
水の宝珠？,Water Jewel ?
風の宝珠？,Wind Jewel ?
光の宝珠？,Light Jewel ?
闇の宝珠？,Dark Jewel ?
謎の宝珠？,Mystery Jewel ?
メタスラボスメダル,Metal Slime Boss Medal
究極Ｖロンコイン,Ultimate Vron Coin
まごころの薬箱,Sincere Medicine Box
プラコンレディ服・白,White Lady's Clothes
プラコンレディ服・赤,Red Lady's Clothes
プラコンレディ服・黒,Black Lady's Clothes
プラコンレディ服・青,Blue Lady's Clothes
プラコンレディ服・黄,Yellow Lady's Clothes
プラコンプリンス服・白,White Prince Outfit
プラコンプリンス服・赤,Red Prince Outfit
プラコンプリンス服・黒,Black Prince Outfit
プラコンプリンス服・青,Blue Prince Outfit
プラコンプリンス服・黄,Yellow Prince Outfit
古びた金庫,Old Safe
メダルがまぐち,Medal Case
お友達紹介チケット,Refer-a-Friend Ticket
しぐさ書・こまいぬ,Emote "Foo Dog"
七夕依頼書,Star Festival Form
メダル１０枚チケット,10 Medals Ticket
白紙のカードの切れはし,Blank Card Piece
宝珠の香水,Jewel Perfume
宝珠のプチ香水,Jewel Perfume S
オーブな香水,Orb Perfume
オーブなプチ香水,Orb Perfume S
タロットメダル,Tarot Medal
しぐさ書・キュピーン,Emote "Cupine"
しぐさ書・モチつき手,Emote "Mochi Pounder"
しぐさ書・モチ返し手,Emote "Mochi Returner"
しぐさ書・線香花火,Emote "Sparkler"
しぐさ書・盆踊り,Emote "Bon Dance"
しぐさ書・つまむ,Emote "Picked Up"
しぐさ書・しゃぼん玉,Emote "Blow Bubbles"
ルーラストーン引換券３,Zoomstone Coupon 3
黄金のブローチの箱,Golden Brooch Box
スライムの書,Book of Slime
モーモンの書,Book of Teeny Sanguini
プリズニャンの書,Book of Jailcat
ホイミスライムの書,Book of Heal Slime
スライムナイトの書,Book of Slime Knight
キメラの書,Chimaera Book
ねこまどうの書,Book of Meowgician
リザードマンの書,Book of Mandrake Major
ベビーサタンの書,Book of Imp
バトルレックスの書,Book of Hacksaurus
ブラウニーの書,Book of Brownie
ドラゴンキッズの書,Book of Small Fry
いたずらもぐらの書,Book of Mischievous Mole
キラーパンサーの書,Book of Great Sabrecat
メタッピーの書,Book of Mecha-Mynah
たけやりへいの書,Bambooligan Book
おどるほうせきの書,Book of Goodybag
ニードルマンの書,Book of Needleman
ゴーレムの書,Book of Golem
さまようよろいの書,Book of Restless Armour
フォンデュの書,Book of Fromage Fray
キラーマシンの書,Book of Killing Machine
マジカルハットの書,Book of Hat Hamwitch
デビルアーマーの書,Book of Harmour
パペットマンの書,Book of Mag. Marionette
エンタシスマンの書,Book of Prancing Pillar
ミステリドールの書,Book of Pocus Poppet
たんすミミックの書,Book of Wardrobe Mimic
ドラキーの書,Book of Dracky
やみしばりの書,Hellish Horror Book
輝石の竜箱,Augite Dragon Box
メダル２０枚チケット,20 Medals Ticket
やりなおしの無限石,Infinite Repeatstone
戦神の箱改,War God Box v2
ドン・モグーラコイン,Don Mole Coin
ドン・モグーラカード,Don Mole Card
プチ・モグーラカード,Frail Mole Card
おめかしレアカラー券,Rare Recolor Ticket
ハナちゃんおしゃれ花,Hana-chan Style Flower
魔物ゴーグル券,Goggles Ticket
ビッグな香水,Sham Hatwitch Perfume
プチビッグな香水,Sham Hatwitch Perfume S
フェルマーク,Fel Mark
銀のフェルマーク,Silver Fel Mark
金のフェルマーク,Gold Fel Mark
わくわくプレゼント箱,Exciting Present Box
しぐさ書・ハイタッチ,Emote "High Five"
プラコン美容院券,Beauty Salon Ticket
きせきのプチプチ香水,Miracle Perfume XS
みちびきのプチプチ香水,Guidance Perfume XS
メタルなプチプチ香水,Metal Perfume XS
宝珠のプチプチ香水,Jewel Perfume XS
オーブなプチプチ香水,Orb Perfume XS
トラマナミスト,Safe Passage Mist
ポーズ書・敬意,Pose "Respects"
運動会・白組衣装券,White Team Uniform Ticket
運動会・赤組衣装券,Red Team Uniform Ticket
タロットパック・赤,Red Tarot Pack
タロットパック・青,Blue Tarot Pack
タロットパック・緑,Green Tarot Pack
タロットパック・紫,Purple Tarot Pack
ラウルのゴーグルケース,Raul Goggles Case
シュガーサブレ,Sugar Cookie
カプサイせんべい,Capsai Rice Cracker
ビクトリーボックス,Victory Box
ボーンヘルム券,Bone Helm Ticket
ダークボーンヘルム券,Dark Bone Helm Ticket
フェザーボーンヘルム券,Feather Bone Helm Ticket
ビクトリーチップ赤,Red Victory Chip
ビクトリーチップ青,Blue Victory Chip
ビクトリーチップ黄,Yellow Victory Chip
ビクトリーチップ紫,Purple Victory Chip
ビクトリーチップ銀,Silver Victory Chip
ビクトリーチップ金,Gold Victory Chip
ビクトリーチップ銅,Copper Victory Chip
ビクトリーチップ光,Light Victory Chip
ビクトリーチップ闇,Dark Victory Chip
ビクトリーチップ地,Earth Victory Chip
魔物きつねの紙おめん券,Paper Fox Mask Ticket
魔物金色メダル勲章券,Gold Medallion Ticket
魔物ガートラント勲章券,Gartlant Medal Ticket
魔物シールド勲章券,Shield Medal Ticket
キャンピングハット券,Camping Hat Ticket
あたまリボン桃券,Pink Head Ribbon Ticket
あたまリボン茶券,Tea Head Ribbon Ticket
あたまリボン水色券,Light Blue Head Ribbon Ticket
ビクトリーチップ白銀,Silver Plated Victory Chip
ビクトリーチップ黄金,Gold Plated Victory Chip
ビクトリーボックスⅡ,Victory Box Ⅱ
甘党衣装券,Sweet Outfit Ticket
辛党衣装券,Spicy Outfit Ticket
正義のスライムパック,Justice Slime Tarot Pack
タロットパック・銀,Silver Tarot Pack
ふわふわふうせん赤,Floating Red Balloon
ふわふわふうせん青,Floating Blue Balloon
ふわふわふうせん緑,Floating Green Balloon
プーちゃんふうせん,Pu-chan Balloon
クーちゃんふうせん,Ku-chan Balloon
リポちゃんふうせん,Lipo-chan Balloon
プラコン金魚ゆかた・男,Men's Goldfish Yukata
プラコン花柄ゆかた・男,Men's Floral Yukata
プラコン桜ゆかた・男,Men's Cherry Yukata
プラコン紅葉ゆかた・男,Men's Autumn Yukata
プラコン白波ゆかた・男,Men's Whitecap Yukata
プラコン金魚ゆかた・女,Women's Goldfish Yukata
プラコン花柄ゆかた・女,Women's Floral Yukata
プラコン桜ゆかた・女,Women's Cherry Yukata
プラコン紅葉ゆかた・女,Women's Autumn Yukata
プラコン白波ゆかた・女,Women's Whitecap Yukata
プラコンイケてる水着赤,Red Cool Swimsuit
プラコンイケてる水着白,White Cool Swimsuit
プラコンイケてる水着桃,Pink Cool Swimsuit
プラコンイケてる水着黒,Black Cool Swimsuit
プラコンイケてる水着青,Blue Cool Swimsuit
プラコンおしゃれ水着赤,Red Snazzy Swimsuit
プラコンおしゃれ水着白,White Snazzy Swimsuit
プラコンおしゃれ水着黄,Yellow Snazzy Swimsuit
プラコンおしゃれ水着黒,Black Snazzy Swimsuit
プラコンおしゃれ水着桃,Pink Snazzy Swimsuit
ご近所なかよしボックス,Neighborhood Friend Box
再しぐさ書・ウインク,Emote "Wink" v2
再しぐさ書・ちょうはつ,Emote "Excited" v2
再しぐさ書・怒る,Emote "Angry" v2
ギュッとザンクの箱,Zankrone Arm Doll Box
ギュッとセラフィの箱,Seraphi Arm Doll Box
ギュッとリゼロッタの箱,Lieselotte Arm Doll Box
ギュッとルコリアの箱,Lucolia Arm Doll Box
しぐさ書・恋の魔法,Emote "Heart Magic"
しぐさ書・星の魔法,Emote "Star Magic"
しぐさ書・羽根の魔法,Emote "Feather Magic"
プラコン男オバケ服,Male Ghost Costume
プラコン男ミイラ服,Male Mummy Costume
プラコン男あくま服,Male Imp Costume
プラコン男パンプキン服,Male Pumpkin Clothes
プラコン男ドラキュラ服,Male Dracula Costume
プラコン女オバケ服,Female Ghost Costume
プラコン女ミイラ服,Female Mummy Costume
プラコン女あくま服,Female Imp Costume
プラコン女パンプキン服,Female Pumpkin Clothes
プラコン女ドラキュラ服,Female Dracula Costume
しぐさ書・シャワー,Emote "Shower"
メダルフラワー,Medal Flower
ロイヤルメダルフラワー,Royal Medal Flower
暗黒の魔人コイン,Ruin Coin
暗黒の魔人カード,Ruin Card
プチ暗黒の魔人カード,Frail Ruin Card
暗黒の魔人強カード,Apex Ruin Card
おめかしＶチケット改,Dress-up V Ticket v2
福の神カード,Luck God Card
クレバーココア,Clever Cocoa
パニックココア,Panic Cocoa
セクシーココア,Sexy Cocoa
キューティココア,Cute Cocoa
エレガントココア,Elegant Cocoa
トレジャーココア,Treasure Cocoa
カリスマココア,Charisma Cocoa
ゴージャスココア,Gorgeous Cocoa
グローリーココア,Glorious Cocoa
スイートココア,Sweet Cocoa
ミステリーココア,Mystery Cocoa
ショコラチケット,Chocolate Ticket
裏ショコラチケット,Chocolate Wall Ticket
身代わりのコイン,Substitution Coin
牙王ゴースネル召喚符,Fang King Gosnell Summon
呼び寄せの筆,Summon Brush
再しぐさ書・ピース,Emote "Peace" v2
再しぐさ書・盆踊り,Emote "Bon Dance" v2
ようせいの霊薬,Faerie Elixir
花狩人の衣装券・赤,Red Flower Hunter Ticket
花狩人の衣装券・青,Blue Flower Hunter Ticket
花狩人の衣装券・黄,Yellow Flower Hunter Ticket
花狩人の衣装券・緑,Green Flower Hunter Ticket
花狩人の衣装券・紫,Purple Flower Hunter Ticket
ガーネシード,Garnet Seed
ラピスラシード,Lapis Lazuli Seed
トルマリシード,Tumeric Seed
エメラルシード,Emerald Seed
アメジスシード,Amethyst Seed
アビスキャンディ,Abyss Candy
ウルフキャンディ,Wolf Candy
ワイルドキャンディ,Wild Candy
ぐるぐるキャンディ,Spiral Lollipop
ブレイブキャンディ,Brave Candy
ラッキーキャンディ,Lucky Candy
ヒョッヒョキャンディ,Hey-ho Candy
激辛キャンディ,Super Hot Candy
セレブキャンディ,Celebrity Candy
キャットキャンディ,Cat Candy
バーストキャンディ,Burst Candy
ナイトチケット,Night Chair Ticket
裏ナイトチケット,Night Wall Ticket
しぐさ書・桜の魔法,Emote "C Blossom Magic"
学園スキルブック１,Academy Skill Book 1
スライムパック,Slime Tarot Pack
デビルパック,Devil Tarot Pack
補習チケット,Extra Lessons Ticket
記憶の消しゴム,Memory Eraser
輪王ザルトラ召喚符,Ring King Zaltra Summon
スライムあんぱん,Slime Anpan
メタスラにくまん,Metal Slime Meat Bun
スライムつむりコロネ,Shell Slime Pastry
ホイミンやきそばパン,Healie Yakisoba
しぐさ書・スイカ,Emote "Watermelon"
しぐさ書・お祝い青,Emote "Celebrate Blue"
しぐさ書・木箱,Emote "Crate"
戦神の箱,War God Box
フランベリー,Flanberry
ギュッとヒストリカの箱,Historica Arm Doll Box
ギュッとリィンの箱,Lynn Arm Doll Box
ギュッとエステラの箱,Estella Arm Doll Box
よろこびの玉手箱,Joyful Jewelry Box
せかいじゅのリーフパイ,World's Best Leaf Pie
プラコン・白い唐傘,White Paper Umbrella
プラコン・赤い唐傘,Red Paper Umbrella
プラコン・黒い唐傘,Black Paper Umbrella
プラコン・チェック傘,Plaid Umbrella
プラコン・魔女の日傘,Witch Umbrella
プラコン・白レース傘,White Lace Umbrella
プラコン・黒レース傘,Black Lace Umbrella
プラコン・葉っぱの傘,Leaf Umbrella
プラコン・桃れんげ傘,Pink Lotus Umbrella
プラコン・紫パンジー傘,Purple Pansy Umbrella
ギュッとリルチェラの箱,Lilcherat Arm Doll Box
ギュッとサジェの箱,Sajay Arm Doll Box
しぐさ書・ミルク缶,Emote "Milk Can"
ベラのギフト引換券,Bella's Gift Vouchers
GMドラクエ３０周年花火,GM DQ 30 Anniversary Fireworks
GMロトの紋章型花火,GM Erdrick's Emblem Fireworks
１０連花火,10 Pack Fireworks
竜王のうろこ,Dragonlord Scale
ガルドリオン練習召喚符,Gardlion Training Summon
剣王ガルドリオン召喚符,Sword King Gardlion Summon
甘味のモト,Sweet Powder
辛味のモト,Spicy Powder
ヘルシーワッフル,Healthy Waffles
しっかりせんべい,Firm Rice Crackers
レスキュマフィン,Rescue Muffin
しぐさ書・傘まわし,Emote "Umbrella Spin"
アマリリスの笑顔,Amaryllis' Smile
マーブルシュガー,Marble Sugar
しぐさ書・Ｇシャワー,Emote "Gold Rush"
しぐさ書・フィーバー,Emote "Fever"
しぐさ書・フィーバー赤,Emote "Fever Red"
しぐさ書・フィーバー青,Emote "Fever Blue"
しぐさ書・フィーバー緑,Emote "Fever Green"
しぐさ書・フィーバー紫,Emote "Fever Purple"
しぐさ書・立って寝る,Emote "Standing Sleep"
しぐさ書・たいこを叩く,Emote "Beat a Drum"
しぐさ書・升で乾杯,Emote "Cheers Box"
しぐさ書・グレープ,Emote "Grape Juice"
しぐさ書・トロピカル,Emote "Tropical Juice"
プラコン女性忍の服・赤,Red Female Ninja Suit
プラコン女性忍の服・黒,Black Female Ninja Suit
プラコン女性忍の服・紺,Navy Female Ninja Suit
プラコン女性忍の服・桃,Pink Female Ninja Suit
プラコン女性忍の服・青,Blue Female Ninja Suit
プラコン男性忍の服・赤,Red Male Ninja Suit
プラコン男性忍の服・黒,Black Male Ninja Suit
プラコン男性忍の服・紺,Navy Male Ninja Suit
プラコン男性忍の服・茶,Tea Male Ninja Suit
プラコン男性忍の服・青,Blue Male Ninja Suit
ギュッとルナナの箱,Lunana Arm Doll Box
ギュッとヒューザの箱,Hyuza Arm Doll Box
キングスライムパック,King Slime Tarot Pack
しぐさ書・画集を読む,Emote "Read Art Book"
黄金のアンクの箱,Golden Ankh Box
ルーラストーン引換券４,Zoomstone Coupon 4
ラリー特別参加券,Rally Special Entry Ticket
Ｓジェネラルコイン,Shogum Coin
Ｓジェネラルカード,Shogum Card
Ｓジェネラル強カード,Apex Shogum Card
Ｓジェネラル練習札,Shogum Training Card
パワフルステーキ,Powerful Steak
ガーディアンサラダ,Guardian Salad
スタミナライス,Stamina Rice
マナパスタ,Mana Pasta
マジカルサンド,Magical Sandwich
いやしのスープ,Soothing Soup
かいしんバーガー,Critical Burger
みかわしオムレツ,Dodge Omelet
きようさにくまん,Deftness Meat Bun
クイックケーキ,Quick Cake
ゴージャスクッキー,Gorgeous Cookies
メガもり丼,Clam Rice Bowl
スパイスカレー,Spicy Curry
スマッシュポテト,Mashed Potatoes
グレイトグラタン,Great Gratin
マジックスープ,Magic Soup
ミラクルサンド,Miracle Sandwich
いやしのムニエル,Soothing Meuniere
バランスパスタ,Balance Pasta
アクロバーガー,Acro-Burger
スタースイーツ,Star Sweets
ファイアタルト,Fire Tart
アイスタルト,Ice Tart
ストームタルト,Storm Tart
ダークタルト,Dark Tart
ライトタルト,Light Tart
お詫びの笹だんご,Bamboo Dumplings
スパイスカレー・小,Small Spicy Curry
スマッシュポテト・小,Small Mashed Potatoes
バトルステーキ・小,Small Battle Steak
グレイトグラタン・小,Small Great Gratin
マジックスープ・小,Small Magic Soup
ミラクルサンド・小,Small Miracle Sandwich
いやしのムニエル・小,Small Soothing Meuniere
あいじょうオムレツ小,Small Love Omelette
バランスパスタ・小,Small Balance Pasta
アクロバーガー・小,Small Acro-Burger
スタースイーツ・小,Small Star Sweets
ズッシリゾット・小,Small Sushi Risotto
ファイアタルト・小,Small Fire Tart
アイスタルト・小,Small Ice Tart
ダークタルト・小,Small Dark Tart
ストームタルト・小,Small Storm Tart
ライトタルト・小,Small Light Tart
古代の石版,Ancient Tablet
さらつやシャンプー,Smooth Shampoo
超合金ダンベル,Superalloy Dumbbell
もこふわパジャマ,Fluffy Pyjamas
最強クイズ問題集,Best Quiz Questions
ぺろぺろキャンディ,Lollipop
学園ゴシップ新聞,Academy Gossip News
金色のなわとび,Golden Jump Rope
アクアマリンの宝石,Aquamarine Gemstone
ときめく砂糖菓子,Sugar Candy
彫刻刀セット,Chisel Set
踊るマドハンド人形,Dancing Muddy Hand Doll
ひまわりのタネ,Sunflower Seeds
白い花のブーケ,White Flower Bouquet
きれいめリップ,Pretty Lip Balm
激辛トマトジュース,Super Hot Tomato Juice
エゼバスソルト,Eze Bath Salt
レインボーアイ,Rainbow Eye
銀の圧力なべ,Pressure Cooker
勝てるケンカの本,Winning Fight Book
エッチなしたぎ,Robust Lingerie
福まねきのタヌキ像,Good Luck Tanuki Statue
ワカメスープ,Seaweed Soup
ニンニクぎょうざ,Garlic Dumplings
アスフェルド大光章,Large Asfeld Medal
アスフェルド光章,Asfeld Medal
暗黒の魔人練習札,Ruin Training Card
ドン・モグーラ練習札,Don Mole Training Card
幻界の四諸侯練習札,4 Dread Fiends Training Card
ゴースネル練習召喚符,Gosnell Training Summon
ザルトラ練習召喚符,Zaltra Training Summon
妖精の実,Fairy Fruit
達人の玉手箱,Master's Jewel Box
しぐさ書・ネオン,Emote "Neon"
レッスンチケット引換券,Lesson Ticket Voucher
流星メダル引換券,Meteor Medal Voucher
白銀のフランベリー,Silver Flanberry
金色のフランベリー,Golden Flanberry
紅蓮のフランベリー,Bright Red Flanberry
緑花のフランベリー,Green Flanberry
桃果のフランベリー,Pink Flanberry
蒼黒のフランベリー,Blue-Black Flanberry
震王ジュノーガ召喚符,Quake King Junoga Summon
ジュノーガ練習召喚符,Junoga Training Summon
プラコンお掃除セット,Cleaning Set
プラコン蝶々セット,Butterfly Set
プラコン布団叩きセット,Cloth Beater Set
プラコンお洗濯セット,Laundry Set
プラコン女性赤ふりそで,Red Women's Kimono
プラコン女性白ふりそで,White Women's Kimono
プラコン女性黒ふりそで,Black Women's Kimono
プラコン女性紫ふりそで,Purple Women's Kimono
プラコン女性桃ふりそで,Pink Women's Kimono
プラコン男性はかま・黒,Black Men's Hakama
プラコン男性はかま・白,White Men's Hakama
プラコン男性はかま・紺,Navy Blue Men's Hakama
プラコン男性はかま・紫,Purple Men's Hakama
プラコン男性はかま・青,Blue Men's Hakama
ほうき星の贈り物,Comet's Gift
ながれ星の贈り物,Shooting Star's Gift
プラコンメタブラスーツ,Metal Medley Costume
プラコンしゃぼんセット,Soap Set
魔天の星,Demonic Star
詩人の玉手箱,Poet's Jewelry Box
しぐさ書・リベリオ,Emote "Rebelio Dance"
ギュッと魔勇者の箱,Evil Hero Arm Doll Box
ギュッとアンルシアの箱,Anlucia Arm Doll Box
ビーストパック,Beast Tarot Pack
マーブルバニラ,Marble Vanilla
お花見だんご傘の包み,Dumpling Umbrella Box
スライダークコイン,Nemeslime Coin
ふくびきウェア衣装券,Lottery Wear Ticket
スライダークカード,Nemeslime Card
スライダーク強カード,Apex Nemeslime Card
スライダーク練習札,Nemeslime Training Card
光章チケット,Shiny Ticket
大光章チケット,Shiny Ticket L
匠のチャーハン,Fried Rice
キレキレキッシュ,Sharp Quiche
タンクハンバーグ,Tank Hamburger
匠のチャーハン・小,Small Fried Rice
キレキレキッシュ・小,Small Sharp Quiche
タンクハンバーグ・小,Small Tank Hamburger
強・タロットメダル,Apex Tarot Medal
ふくびきインク,Lottery Ink
シルフウィング・白の箱,White Sylph Wings Box
シルフウィング・青の箱,Blue Sylph Wings Box
シルフウィング・桃の箱,Pink Sylph Wings Box
しぐさ書・大テレ,Emote "Very Shy"
しぐさ書・ガリバー,Emote "Gulliver Hand"
しぐさ書・勉強する,Emote "Study"
バトルパッツァ,Battle Pazza
しぐさ書・パレード,Emote "Parade Dance"
しぐさ書・ムフフ本,Emote "Ogler's Digest"
時の化身の像・庭交換券,Tockle Statue (G) Ticket
プラコン女性巫女服・赤,Red Priestess Dress
プラコン女性巫女服・紫,Purple Priestess Dress
プラコン女性巫女服・青,Blue Priestess Dress
プラコン女性巫女服・桃,Pink Priestess Dress
プラコン女性巫女服・緑,Green Priestess Dress
しぐさ書・キラ星,Emote "Stars"
バッジパック虹,Rainbow Badge Pack
ガネーシャエビルパック,Evil Ganesh Tarot Pack
シール特別交換券,Sticker Exchange Ticket
おたのしみギュッと箱,Pleasure Arm Doll Box
しぐさ書・綿毛タンポラ,Emote "Fluff Dandelion"
しぐさ書・ねる２,Emote "Sleep 2"
しぐさ書・ねる３,Emote "Sleep 3"
ポーズ書・聖騎士,Pose "Paladin"
しぐさ書・座って本読み,Emote "Sit and Read"
しぐさ書・身支度,Emote "Get Ready"
ルーラストーン引換券５,Zoomstone Coupon 5
５周年記念花火,5th Anniversary Fireworks
しぐさ書・かき氷,Emote "Shaved Ice"
しぐさ書・イスに座る,Emote "Sit in a Chair"
美容院優待券,Salon Courtesy Cpn
しぐさ書・いねむり,Emote "Nodding Off"
聖なる守り,Holy Protection
キュウサイポイント,Res-Cu Points
けんじゃのいし,Sage's Stone
精霊のひかり,Holy Light
経験値の古文書・戦士,Experience Scroll - WAR
経験値の古文書・僧侶,Experience Scroll - PRI
経験値の古文書・魔使,Experience Scroll - MGE
経験値の古文書・武闘,Experience Scroll - MRT
経験値の古文書・盗賊,Experience Scroll - THF
経験値の古文書・旅芸,Experience Scroll - MIN
経験値の古文書・バト,Experience Scroll - BTL
経験値の古文書・パラ,Experience Scroll - PLD
経験値の古文書・魔戦,Experience Scroll - ARM
経験値の古文書・レン,Experience Scroll - RNG
経験値の古文書・賢者,Experience Scroll - SGE
経験値の古文書・スパ,Experience Scroll - STA
経験値の古文書・まも,Experience Scroll - MON
経験値の古文書・どう,Experience Scroll - ITM
経験値の古文書・踊り,Experience Scroll - DNC
経験値の古文書・占い,Experience Scroll - FOR
経験値の古文書・天地,Experience Scroll - DRU
ドリームカカオ,Dream Cacao
堅守の書,Buff Book
しぐさ書・幸せのおどり,Emote "Happy Dance"
バトルパッツァ・小,Small Battle Pazza
ゼルメアの聖紋,Zelmea Crest
ギュメイ将軍コイン,Goresby-Purrvis Coin
ギュメイ将軍カード,Goresby-Purrvis Card
ギュメイ将軍練習札,Goresby-Purrvis Training Card
おみくじボックスⅡ,Good Fortune Box Ⅱ
しぐさ書・ヴァイオリン,Emote "Violin"
しぐさ書・タンバリン,Emote "Tambourine"
しぐさ書・フルート,Emote "Flute"
しぐさ書・リバーダンス,Emote "Riverdance"
しぐさ書・アコーディオ,Emote "Accordion"
しぐさ書・お祝い,Emote "Celebrate"
しぐさ書・バトエン,Emote "Battle Pencil"
しぐさ書・ケーキ,Emote "Cake"
しぐさ書・Ｖロン,Emote "Vron"
しぐさ書・ダンシング,Emote "Dancing"
しぐさ書・ダンシング赤,Emote "Dancing Red"
しぐさ書・ダンシング青,Emote "Dancing Blue"
しぐさ書・ダンシング緑,Emote "Dancing Green"
しぐさ書・ダンシング紫,Emote "Dancing Purple"
しぐさ書・ジュエル,Emote "Jewel Shower"
しぐさ書・○を描く,Emote "Draw an O"
しぐさ書・×を描く,Emote "Draw an X"
ドリームバニラ,Dream Vanilla
アラビアンウェア上,Arabian Vest
シュメリアブラウス,Sumeria Blouse
リンカのローブ,Linka's Robe
パラディチェイン２,Paladin Chain Mail 2
スターコート２,Superstar Coat 2
レンジャコート上２,Ranger Coat Top 2
魔法戦士団制服２,Armamentalist Uniform 2
まもの使いの服２,Monster Master Suit 2
賢者のころも上２,Sage Robe Top 2
ホイミントウェア上,Heal Mint Shirt
ホイミントドレス上,Heal Mint Blouse
お花のパーカー水着,Flower Hood Swimsuit
清涼スイムワンピ,Cool Swim Dress
荒波サーフパンツ,Rough Sea Surf Shorts
ホイミントバンダナ,Heal Mint Bandana
ホイミントバンド,Heal Mint Headband
整備士の服上,Technician's Shirt
メレアーデドレス上,Mereade Dress Top
マジカル姫ゆかた上,Magical Yukata Top
マジカルじんべい上,Magical Jinbei Top
キャロル姫ゆかた上,Carol Yukata Top
キャロルじんべい上,Carol Jinbei Top
ギャルいウィングの箱,Stella Wings Box
メレアーデスカート,Mereade Skirt
レオパードウェア下,Leopard Pants
アジサイ姫ゆかた下,Hydrangea Skirt
コブタパーカー上,Piglet Hoodie
疾風の装束上,Gale Shirt
若武者のよろい上,Young Warrior Cuirass
セラフィＴシャツ,Seraphi T-Shirt
アンルシアＴシャツ,Anlucia T-Shirt
ヒストリカＴシャツ,Historica T-Shirt
学園女子の冬服,Schoolgirl Winterwear
学園女子のジャージ,Schoolgirl Jersey
エトワールコート上,Etoile Coat Top
プリムリリーの服,Primlily's Clothes
花火のゆかた,Fireworks Yukata
お祭りのハッピ,Festival Happi
夢見るスイムワンピ,Dream Swim Dress
おとぎの森ブラウス,Fairy Forest Blouse
おとぎの森ボレロ,Fairy Forest Bolero
スタジアムシャツ,Stadium Shirt
ゴルフメンズウェア,Golf Men's Wear
